"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Mollugo_ott584118",20,4,20,18,2,0,0
"MRCA_of_taxa_in_Morus_ott658501",87,18,100,100,100,9,41
"Muhlenbergia_ott739168",0,0,100,100,100,0,0
"Myosotis_ott82995",100,0,100,100,35,0,0
"Myosoton_ott689113",3,0,3,1,3,0,0
"Najas_?genus_in_kingdom_Archaeplastida?_ott785528",100,2,100,100,100,0,1
"MRCA_of_taxa_in_Nasturtium_ott556233",3,4,23,12,17,0,0
"Nepeta_ott314683",15,2,54,48,51,0,0
"Oenothera_ott277109",20,93,100,100,100,0,0
"Ornithogalum_ott29643",2,0,52,51,100,0,0
"MRCA_of_taxa_in_Parthenocissus_ott329909",1,0,0,0,100,0,0
"Phalaris_ott651214",20,2,100,100,87,0,0
"Phragmites_ott651210",2,6,16,11,100,0,0
"Picea_ott517942",11,24,28,98,100,0,16
"Plantago_ott609811",100,14,100,100,100,0,46
"Pluchea_ott1083098",19,2,100,100,34,0,0
"Poa_ott985636",100,27,100,100,100,0,5
"Polygonum_ott43733",39,0,100,100,82,0,4
"Populus_ott530178",91,100,67,100,100,9,22
"Portulaca_ott63152",100,9,100,100,26,0,0
"Potamogeton_ott1048840",100,2,100,100,100,0,2
"Potentilleae_ott891491_MRCA_of_taxa_in_Potentilla_ott187939",100,31,100,100,100,0,0
"Prunella_?genus_in_kingdom_Archaeplastida?_ott314693",1,17,57,29,15,13,75
"Puccinellia_ott591700",83,4,100,100,84,0,0
"MRCA_of_taxa_in_Ranunculus_ott387812",22,14,100,100,100,0,1
"Rhizophora_ott81498",10,6,66,60,81,0,0
"Rhynchospora_ott267277",69,0,85,77,100,0,0
"Rumex_ott904386",36,12,100,63,79,0,0
"Sagina_ott459770",11,0,39,12,10,0,0
"Salix_?genus_in_kingdom_Archaeplastida?_ott458856",100,40,100,100,100,0,46
"Salsola_ott675985",25,1,99,83,10,0,1
"Solanum_ott1020645",100,100,100,100,100,27,60
"MRCA_of_taxa_in_Solidago_ott872351",81,1,100,100,100,0,16
"Sonchus_ott761940",6,16,100,100,100,0,4
"Sorghum_ott553001",71,17,19,84,100,0,2
"Sparganium_ott928468",35,4,22,0,48,0,0
"Spirodela_ott431386",12,3,2,2,13,0,2
"Stachydeae_ott534796_MRCA_of_taxa_in_Stachys_ott868253",17,9,9,1,100,0,0
"Tamarix_ott941999",55,5,100,100,100,0,1
"MRCA_of_taxa_in_Tradescantia_ott877742",1,3,2,0,53,0,0
"Trapa_ott17303",0,9,27,26,28,0,0
"Trifolium_?genus_in_kingdom_Archaeplastida?_ott935477",100,35,100,100,100,0,12
"Trillium_ott76108",7,14,100,100,100,0,0
"Typha_ott613197",8,4,21,0,100,0,4
"Ulmus_?genus_in_kingdom_Archaeplastida?_ott94969",30,24,44,31,64,0,0
"Veronica_ott507032",100,4,100,100,100,0,2
"Viburnum_ott757503",33,24,100,100,100,0,6
"MRCA_of_taxa_in_Viola_ott295597",100,18,100,100,100,0,9
"Wisteria_ott489481",17,7,26,22,2,0,0
"Xanthium_ott217669",33,3,92,36,9,0,0
"Bothriocephalus_ott560031",39,10,10,29,0,0,53
"Dactylogyrus_ott869972",100,2,0,100,0,2,2
"Ichthyocotylurus_ott751876",6,0,5,7,0,0,23
"Neascus_ott3670002",3,0,0,0,0,0,3
"Scolex_ott5308164",0,0,0,0,0,0,0
"Timoniella_ott5694039",0,0,0,0,0,0,0
"Trochammina_ott781935",19,0,0,0,0,0,0
"Corythionella_ott1029966",0,0,0,0,0,0,0
"Varanus_ott713772",0,100,2,0,6,100,92
"Caiman_ott335589",0,46,1,1,0,8,100
"MRCA_of_taxa_in_Cliona_ott336987",46,0,79,100,0,0,100
"Gelliodes_ott373440",1,0,0,0,0,0,7
"MRCA_of_taxa_in_Suberites_ott127352",20,1,2,1,0,1,61
"MRCA_of_taxa_in_Prosuberites_ott804711",32,0,31,31,0,0,1
"Macrobiotus_ott661258",100,0,22,1,0,0,100
"Milnesium_ott1085413",45,0,24,0,0,0,66
"Polyandrocarpa_ott750981",4,1,0,0,0,0,11
"Ascidia_ott1033778",15,0,0,0,0,0,44
"Phallusia_ott12608",17,0,0,0,0,0,18
"Corella_ott726840",35,0,0,0,0,0,24
"Microcosmus_ott331381",14,1,0,0,0,1,100
"Symplegma_ott879606",3,0,0,0,0,0,18
"MRCA_of_taxa_in_Tilapia_ott288087",0,20,0,0,0,18,63
"MRCA_of_taxa_in_Acanthogobius_ott961465",2,9,0,0,0,38,45
"MRCA_of_taxa_in_Cephalopholis_ott764292",0,100,0,0,0,74,100
"Lutjanidae_ott129124_MRCA_of_taxa_in_Lutjanus_ott943201",26,100,0,4,0,100,100
"Gonodactylaceus_ott880801",2,4,0,0,0,1,81
"Zebrasoma_ott199069",0,21,0,0,0,15,100
"MRCA_of_taxa_in_Acanthurus_ott605288",1,52,0,0,0,55,100
"MRCA_of_taxa_in_Anchoa_ott788271",0,57,0,0,0,5,100
"Apeltes_ott591252",0,5,0,0,0,3,18
"Archoplites_ott778316",0,1,0,0,0,0,3
"Astronotus_ott952934",0,8,0,0,0,8,22
"MRCA_of_taxa_in_Balistes_ott983863",0,14,0,0,0,13,87
"Cichla_ott356757",0,24,0,0,0,9,100
"Cittarium_ott624125",4,100,0,0,0,2,100
