speciesgenus,Genus,Family,order,class,phylum,domain
Dreissena rostriformis bugensis,Dreissena,Dreissenidae,Myida,Bivalvia,Mollusca,Eukaryota
Melanoides tuberculata,Melanoides,Thiaridae,NA,Gastropoda,Mollusca,Eukaryota
Potamopyrgus antipodarum,Potamopyrgus,Tateidae,Littorinimorpha,Gastropoda,Mollusca,Eukaryota
Caulerpa taxifolia,Caulerpa,Caulerpaceae,Bryopsidales,Ulvophyceae,Chlorophyta,Eukaryota
Myriophyllum aquaticum,Myriophyllum,Haloragaceae,Saxifragales,Magnoliopsida,Streptophyta,Eukaryota
Egeria densa,Egeria,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Eichhornia crassipes,Pontederia,Pontederiaceae,Commelinales,Magnoliopsida,Streptophyta,Eukaryota
Hydrilla verticillata,Hydrilla,Hydrocharitaceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Nymphoides peltata,Nymphoides,Menyanthaceae,Asterales,Magnoliopsida,Streptophyta,Eukaryota
Pistia stratiotes,Pistia,Araceae,Alismatales,Magnoliopsida,Streptophyta,Eukaryota
Salvinia molesta,Salvinia,Salviniaceae,Salviniales,Polypodiopsida,Streptophyta,Eukaryota
Ciona intestinalis,Ciona,Cionidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Didemnum vexillum,Didemnum,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,Eukaryota
Styela clava,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Molgula manhattensis,Molgula,Molgulidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Ascidiella aspersa,Ascidiella,Ascidiidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Styela plicata,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,Eukaryota
Ciona savignyi,Ciona,Cionidae,Phlebobranchia,Ascidiacea,Chordata,Eukaryota
Diplosoma listerianum,Diplosoma,Didemnidae,Aplousobranchia,Ascidiacea,Chordata,Eukaryota
Alosa sapidissima,Alosa,Clupeidae,Clupeiformes,Actinopteri,Chordata,Eukaryota
Cichlasoma,Cichlasoma,Cichlidae,Cichliformes,Actinopteri,Chordata,Eukaryota
Morone saxatilis,Morone,Moronidae,NA,Actinopteri,Chordata,Eukaryota
Osmerus mordax,Osmerus,Osmeridae,Osmeriformes,Actinopteri,Chordata,Eukaryota
Salmo salar,Salmo,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Pterois volitans,Pterois,Scorpaenidae,Perciformes,Actinopteri,Chordata,Eukaryota
Ameiurus melas,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,Eukaryota
Ameiurus nebulosus,Ameiurus,Ictaluridae,Siluriformes,Actinopteri,Chordata,Eukaryota
Anguilla rostrata,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,Eukaryota
Carassius auratus,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Ctenopharyngodon idella,Ctenopharyngodon,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Cyprinus carpio,Cyprinus,Cyprinidae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Gambusia affinis,Gambusia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Gambusia holbrooki,Gambusia,Poeciliidae,Cyprinodontiformes,Actinopteri,Chordata,Eukaryota
Gasterosteus aculeatus,Gasterosteus,Gasterosteidae,Perciformes,Actinopteri,Chordata,Eukaryota
Gymnocephalus cernua,Gymnocephalus,Percidae,Perciformes,Actinopteri,Chordata,Eukaryota
Hypophthalmichthys nobilis,Hypophthalmichthys,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,Eukaryota
Lepisosteus platostomus,Lepisosteus,Lepisosteidae,Semionotiformes,Actinopteri,Chordata,Eukaryota
Neogobius melanostomus,Neogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus gorbuscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Oncorhynchus mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota
Platichthys flesus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota
