"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Styela clava","Styela clava[ORGN] AND 18S","Styela clava[ORGN] AND  16S","Styela clava[ORGN] AND  PITS","Styela clava[ORGN] AND  CO1","Styela clava[ORGN] AND  COI","Styela clava[ORGN] AND  COX1","Styela clava[ORGN] AND  FITS","Styela clava[ORGN] AND  ITS2","Styela clava[ORGN] AND  ITS1","Styela clava[ORGN] AND  trnl","Styela clava[ORGN] AND  12S"
"Molgula manhattensis","Molgula manhattensis[ORGN] AND 18S","Molgula manhattensis[ORGN] AND  16S","Molgula manhattensis[ORGN] AND  PITS","Molgula manhattensis[ORGN] AND  CO1","Molgula manhattensis[ORGN] AND  COI","Molgula manhattensis[ORGN] AND  COX1","Molgula manhattensis[ORGN] AND  FITS","Molgula manhattensis[ORGN] AND  ITS2","Molgula manhattensis[ORGN] AND  ITS1","Molgula manhattensis[ORGN] AND  trnl","Molgula manhattensis[ORGN] AND  12S"
"Ascidiella aspersa","Ascidiella aspersa[ORGN] AND 18S","Ascidiella aspersa[ORGN] AND  16S","Ascidiella aspersa[ORGN] AND  PITS","Ascidiella aspersa[ORGN] AND  CO1","Ascidiella aspersa[ORGN] AND  COI","Ascidiella aspersa[ORGN] AND  COX1","Ascidiella aspersa[ORGN] AND  FITS","Ascidiella aspersa[ORGN] AND  ITS2","Ascidiella aspersa[ORGN] AND  ITS1","Ascidiella aspersa[ORGN] AND  trnl","Ascidiella aspersa[ORGN] AND  12S"
"Styela plicata","Styela plicata[ORGN] AND 18S","Styela plicata[ORGN] AND  16S","Styela plicata[ORGN] AND  PITS","Styela plicata[ORGN] AND  CO1","Styela plicata[ORGN] AND  COI","Styela plicata[ORGN] AND  COX1","Styela plicata[ORGN] AND  FITS","Styela plicata[ORGN] AND  ITS2","Styela plicata[ORGN] AND  ITS1","Styela plicata[ORGN] AND  trnl","Styela plicata[ORGN] AND  12S"
"Ciona savignyi","Ciona savignyi[ORGN] AND 18S","Ciona savignyi[ORGN] AND  16S","Ciona savignyi[ORGN] AND  PITS","Ciona savignyi[ORGN] AND  CO1","Ciona savignyi[ORGN] AND  COI","Ciona savignyi[ORGN] AND  COX1","Ciona savignyi[ORGN] AND  FITS","Ciona savignyi[ORGN] AND  ITS2","Ciona savignyi[ORGN] AND  ITS1","Ciona savignyi[ORGN] AND  trnl","Ciona savignyi[ORGN] AND  12S"
"Diplosoma listerianum","Diplosoma listerianum[ORGN] AND 18S","Diplosoma listerianum[ORGN] AND  16S","Diplosoma listerianum[ORGN] AND  PITS","Diplosoma listerianum[ORGN] AND  CO1","Diplosoma listerianum[ORGN] AND  COI","Diplosoma listerianum[ORGN] AND  COX1","Diplosoma listerianum[ORGN] AND  FITS","Diplosoma listerianum[ORGN] AND  ITS2","Diplosoma listerianum[ORGN] AND  ITS1","Diplosoma listerianum[ORGN] AND  trnl","Diplosoma listerianum[ORGN] AND  12S"
"Alosa sapidissima","Alosa sapidissima[ORGN] AND 18S","Alosa sapidissima[ORGN] AND  16S","Alosa sapidissima[ORGN] AND  PITS","Alosa sapidissima[ORGN] AND  CO1","Alosa sapidissima[ORGN] AND  COI","Alosa sapidissima[ORGN] AND  COX1","Alosa sapidissima[ORGN] AND  FITS","Alosa sapidissima[ORGN] AND  ITS2","Alosa sapidissima[ORGN] AND  ITS1","Alosa sapidissima[ORGN] AND  trnl","Alosa sapidissima[ORGN] AND  12S"
"Cichlasoma","Cichlasoma[ORGN] AND 18S","Cichlasoma[ORGN] AND  16S","Cichlasoma[ORGN] AND  PITS","Cichlasoma[ORGN] AND  CO1","Cichlasoma[ORGN] AND  COI","Cichlasoma[ORGN] AND  COX1","Cichlasoma[ORGN] AND  FITS","Cichlasoma[ORGN] AND  ITS2","Cichlasoma[ORGN] AND  ITS1","Cichlasoma[ORGN] AND  trnl","Cichlasoma[ORGN] AND  12S"
"Morone saxatilis","Morone saxatilis[ORGN] AND 18S","Morone saxatilis[ORGN] AND  16S","Morone saxatilis[ORGN] AND  PITS","Morone saxatilis[ORGN] AND  CO1","Morone saxatilis[ORGN] AND  COI","Morone saxatilis[ORGN] AND  COX1","Morone saxatilis[ORGN] AND  FITS","Morone saxatilis[ORGN] AND  ITS2","Morone saxatilis[ORGN] AND  ITS1","Morone saxatilis[ORGN] AND  trnl","Morone saxatilis[ORGN] AND  12S"
"Osmerus mordax","Osmerus mordax[ORGN] AND 18S","Osmerus mordax[ORGN] AND  16S","Osmerus mordax[ORGN] AND  PITS","Osmerus mordax[ORGN] AND  CO1","Osmerus mordax[ORGN] AND  COI","Osmerus mordax[ORGN] AND  COX1","Osmerus mordax[ORGN] AND  FITS","Osmerus mordax[ORGN] AND  ITS2","Osmerus mordax[ORGN] AND  ITS1","Osmerus mordax[ORGN] AND  trnl","Osmerus mordax[ORGN] AND  12S"
