"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Rhynchospora nitens","Rhynchospora nitens[ORGN] AND 18S","Rhynchospora nitens[ORGN] AND  16S","Rhynchospora nitens[ORGN] AND  PITS","Rhynchospora nitens[ORGN] AND  CO1","Rhynchospora nitens[ORGN] AND  COI","Rhynchospora nitens[ORGN] AND  COX1","Rhynchospora nitens[ORGN] AND  FITS","Rhynchospora nitens[ORGN] AND  ITS2","Rhynchospora nitens[ORGN] AND  ITS1","Rhynchospora nitens[ORGN] AND  trnl","Rhynchospora nitens[ORGN] AND  12S"
"Rorippa sylvestris","Rorippa sylvestris[ORGN] AND 18S","Rorippa sylvestris[ORGN] AND  16S","Rorippa sylvestris[ORGN] AND  PITS","Rorippa sylvestris[ORGN] AND  CO1","Rorippa sylvestris[ORGN] AND  COI","Rorippa sylvestris[ORGN] AND  COX1","Rorippa sylvestris[ORGN] AND  FITS","Rorippa sylvestris[ORGN] AND  ITS2","Rorippa sylvestris[ORGN] AND  ITS1","Rorippa sylvestris[ORGN] AND  trnl","Rorippa sylvestris[ORGN] AND  12S"
"Rumex acetosella","Rumex acetosella[ORGN] AND 18S","Rumex acetosella[ORGN] AND  16S","Rumex acetosella[ORGN] AND  PITS","Rumex acetosella[ORGN] AND  CO1","Rumex acetosella[ORGN] AND  COI","Rumex acetosella[ORGN] AND  COX1","Rumex acetosella[ORGN] AND  FITS","Rumex acetosella[ORGN] AND  ITS2","Rumex acetosella[ORGN] AND  ITS1","Rumex acetosella[ORGN] AND  trnl","Rumex acetosella[ORGN] AND  12S"
"Rumex crispus","Rumex crispus[ORGN] AND 18S","Rumex crispus[ORGN] AND  16S","Rumex crispus[ORGN] AND  PITS","Rumex crispus[ORGN] AND  CO1","Rumex crispus[ORGN] AND  COI","Rumex crispus[ORGN] AND  COX1","Rumex crispus[ORGN] AND  FITS","Rumex crispus[ORGN] AND  ITS2","Rumex crispus[ORGN] AND  ITS1","Rumex crispus[ORGN] AND  trnl","Rumex crispus[ORGN] AND  12S"
"Rumex longifolius","Rumex longifolius[ORGN] AND 18S","Rumex longifolius[ORGN] AND  16S","Rumex longifolius[ORGN] AND  PITS","Rumex longifolius[ORGN] AND  CO1","Rumex longifolius[ORGN] AND  COI","Rumex longifolius[ORGN] AND  COX1","Rumex longifolius[ORGN] AND  FITS","Rumex longifolius[ORGN] AND  ITS2","Rumex longifolius[ORGN] AND  ITS1","Rumex longifolius[ORGN] AND  trnl","Rumex longifolius[ORGN] AND  12S"
"Rumex obtusifolius","Rumex obtusifolius[ORGN] AND 18S","Rumex obtusifolius[ORGN] AND  16S","Rumex obtusifolius[ORGN] AND  PITS","Rumex obtusifolius[ORGN] AND  CO1","Rumex obtusifolius[ORGN] AND  COI","Rumex obtusifolius[ORGN] AND  COX1","Rumex obtusifolius[ORGN] AND  FITS","Rumex obtusifolius[ORGN] AND  ITS2","Rumex obtusifolius[ORGN] AND  ITS1","Rumex obtusifolius[ORGN] AND  trnl","Rumex obtusifolius[ORGN] AND  12S"
"Sagina procumbens","Sagina procumbens[ORGN] AND 18S","Sagina procumbens[ORGN] AND  16S","Sagina procumbens[ORGN] AND  PITS","Sagina procumbens[ORGN] AND  CO1","Sagina procumbens[ORGN] AND  COI","Sagina procumbens[ORGN] AND  COX1","Sagina procumbens[ORGN] AND  FITS","Sagina procumbens[ORGN] AND  ITS2","Sagina procumbens[ORGN] AND  ITS1","Sagina procumbens[ORGN] AND  trnl","Sagina procumbens[ORGN] AND  12S"
"Salix alba","Salix alba[ORGN] AND 18S","Salix alba[ORGN] AND  16S","Salix alba[ORGN] AND  PITS","Salix alba[ORGN] AND  CO1","Salix alba[ORGN] AND  COI","Salix alba[ORGN] AND  COX1","Salix alba[ORGN] AND  FITS","Salix alba[ORGN] AND  ITS2","Salix alba[ORGN] AND  ITS1","Salix alba[ORGN] AND  trnl","Salix alba[ORGN] AND  12S"
"Salix exigua","Salix exigua[ORGN] AND 18S","Salix exigua[ORGN] AND  16S","Salix exigua[ORGN] AND  PITS","Salix exigua[ORGN] AND  CO1","Salix exigua[ORGN] AND  COI","Salix exigua[ORGN] AND  COX1","Salix exigua[ORGN] AND  FITS","Salix exigua[ORGN] AND  ITS2","Salix exigua[ORGN] AND  ITS1","Salix exigua[ORGN] AND  trnl","Salix exigua[ORGN] AND  12S"
"Salix fragilis","Salix fragilis[ORGN] AND 18S","Salix fragilis[ORGN] AND  16S","Salix fragilis[ORGN] AND  PITS","Salix fragilis[ORGN] AND  CO1","Salix fragilis[ORGN] AND  COI","Salix fragilis[ORGN] AND  COX1","Salix fragilis[ORGN] AND  FITS","Salix fragilis[ORGN] AND  ITS2","Salix fragilis[ORGN] AND  ITS1","Salix fragilis[ORGN] AND  trnl","Salix fragilis[ORGN] AND  12S"
"Salix x fragilis","Salix x fragilis[ORGN] AND 18S","Salix x fragilis[ORGN] AND  16S","Salix x fragilis[ORGN] AND  PITS","Salix x fragilis[ORGN] AND  CO1","Salix x fragilis[ORGN] AND  COI","Salix x fragilis[ORGN] AND  COX1","Salix x fragilis[ORGN] AND  FITS","Salix x fragilis[ORGN] AND  ITS2","Salix x fragilis[ORGN] AND  ITS1","Salix x fragilis[ORGN] AND  trnl","Salix x fragilis[ORGN] AND  12S"
"Salix purpurea","Salix purpurea[ORGN] AND 18S","Salix purpurea[ORGN] AND  16S","Salix purpurea[ORGN] AND  PITS","Salix purpurea[ORGN] AND  CO1","Salix purpurea[ORGN] AND  COI","Salix purpurea[ORGN] AND  COX1","Salix purpurea[ORGN] AND  FITS","Salix purpurea[ORGN] AND  ITS2","Salix purpurea[ORGN] AND  ITS1","Salix purpurea[ORGN] AND  trnl","Salix purpurea[ORGN] AND  12S"
"Salix x pendulina","Salix x pendulina[ORGN] AND 18S","Salix x pendulina[ORGN] AND  16S","Salix x pendulina[ORGN] AND  PITS","Salix x pendulina[ORGN] AND  CO1","Salix x pendulina[ORGN] AND  COI","Salix x pendulina[ORGN] AND  COX1","Salix x pendulina[ORGN] AND  FITS","Salix x pendulina[ORGN] AND  ITS2","Salix x pendulina[ORGN] AND  ITS1","Salix x pendulina[ORGN] AND  trnl","Salix x pendulina[ORGN] AND  12S"
"Salix","Salix[ORGN] AND 18S","Salix[ORGN] AND  16S","Salix[ORGN] AND  PITS","Salix[ORGN] AND  CO1","Salix[ORGN] AND  COI","Salix[ORGN] AND  COX1","Salix[ORGN] AND  FITS","Salix[ORGN] AND  ITS2","Salix[ORGN] AND  ITS1","Salix[ORGN] AND  trnl","Salix[ORGN] AND  12S"
"Salsola","Salsola[ORGN] AND 18S","Salsola[ORGN] AND  16S","Salsola[ORGN] AND  PITS","Salsola[ORGN] AND  CO1","Salsola[ORGN] AND  COI","Salsola[ORGN] AND  COX1","Salsola[ORGN] AND  FITS","Salsola[ORGN] AND  ITS2","Salsola[ORGN] AND  ITS1","Salsola[ORGN] AND  trnl","Salsola[ORGN] AND  12S"
"Salvinia minima","Salvinia minima[ORGN] AND 18S","Salvinia minima[ORGN] AND  16S","Salvinia minima[ORGN] AND  PITS","Salvinia minima[ORGN] AND  CO1","Salvinia minima[ORGN] AND  COI","Salvinia minima[ORGN] AND  COX1","Salvinia minima[ORGN] AND  FITS","Salvinia minima[ORGN] AND  ITS2","Salvinia minima[ORGN] AND  ITS1","Salvinia minima[ORGN] AND  trnl","Salvinia minima[ORGN] AND  12S"
"Sapium","Sapium[ORGN] AND 18S","Sapium[ORGN] AND  16S","Sapium[ORGN] AND  PITS","Sapium[ORGN] AND  CO1","Sapium[ORGN] AND  COI","Sapium[ORGN] AND  COX1","Sapium[ORGN] AND  FITS","Sapium[ORGN] AND  ITS2","Sapium[ORGN] AND  ITS1","Sapium[ORGN] AND  trnl","Sapium[ORGN] AND  12S"
"Solanum dulcamara","Solanum dulcamara[ORGN] AND 18S","Solanum dulcamara[ORGN] AND  16S","Solanum dulcamara[ORGN] AND  PITS","Solanum dulcamara[ORGN] AND  CO1","Solanum dulcamara[ORGN] AND  COI","Solanum dulcamara[ORGN] AND  COX1","Solanum dulcamara[ORGN] AND  FITS","Solanum dulcamara[ORGN] AND  ITS2","Solanum dulcamara[ORGN] AND  ITS1","Solanum dulcamara[ORGN] AND  trnl","Solanum dulcamara[ORGN] AND  12S"
"Solidago sempervirens","Solidago sempervirens[ORGN] AND 18S","Solidago sempervirens[ORGN] AND  16S","Solidago sempervirens[ORGN] AND  PITS","Solidago sempervirens[ORGN] AND  CO1","Solidago sempervirens[ORGN] AND  COI","Solidago sempervirens[ORGN] AND  COX1","Solidago sempervirens[ORGN] AND  FITS","Solidago sempervirens[ORGN] AND  ITS2","Solidago sempervirens[ORGN] AND  ITS1","Solidago sempervirens[ORGN] AND  trnl","Solidago sempervirens[ORGN] AND  12S"
"Sonchus arvensis","Sonchus arvensis[ORGN] AND 18S","Sonchus arvensis[ORGN] AND  16S","Sonchus arvensis[ORGN] AND  PITS","Sonchus arvensis[ORGN] AND  CO1","Sonchus arvensis[ORGN] AND  COI","Sonchus arvensis[ORGN] AND  COX1","Sonchus arvensis[ORGN] AND  FITS","Sonchus arvensis[ORGN] AND  ITS2","Sonchus arvensis[ORGN] AND  ITS1","Sonchus arvensis[ORGN] AND  trnl","Sonchus arvensis[ORGN] AND  12S"
"Sonchus arvensis subsp. uliginosus","Sonchus arvensis subsp. uliginosus[ORGN] AND 18S","Sonchus arvensis subsp. uliginosus[ORGN] AND  16S","Sonchus arvensis subsp. uliginosus[ORGN] AND  PITS","Sonchus arvensis subsp. uliginosus[ORGN] AND  CO1","Sonchus arvensis subsp. uliginosus[ORGN] AND  COI","Sonchus arvensis subsp. uliginosus[ORGN] AND  COX1","Sonchus arvensis subsp. uliginosus[ORGN] AND  FITS","Sonchus arvensis subsp. uliginosus[ORGN] AND  ITS2","Sonchus arvensis subsp. uliginosus[ORGN] AND  ITS1","Sonchus arvensis subsp. uliginosus[ORGN] AND  trnl","Sonchus arvensis subsp. uliginosus[ORGN] AND  12S"
"Sonchus asper","Sonchus asper[ORGN] AND 18S","Sonchus asper[ORGN] AND  16S","Sonchus asper[ORGN] AND  PITS","Sonchus asper[ORGN] AND  CO1","Sonchus asper[ORGN] AND  COI","Sonchus asper[ORGN] AND  COX1","Sonchus asper[ORGN] AND  FITS","Sonchus asper[ORGN] AND  ITS2","Sonchus asper[ORGN] AND  ITS1","Sonchus asper[ORGN] AND  trnl","Sonchus asper[ORGN] AND  12S"
"Sorghum halepense","Sorghum halepense[ORGN] AND 18S","Sorghum halepense[ORGN] AND  16S","Sorghum halepense[ORGN] AND  PITS","Sorghum halepense[ORGN] AND  CO1","Sorghum halepense[ORGN] AND  COI","Sorghum halepense[ORGN] AND  COX1","Sorghum halepense[ORGN] AND  FITS","Sorghum halepense[ORGN] AND  ITS2","Sorghum halepense[ORGN] AND  ITS1","Sorghum halepense[ORGN] AND  trnl","Sorghum halepense[ORGN] AND  12S"
"Sparganium androcladum","Sparganium androcladum[ORGN] AND 18S","Sparganium androcladum[ORGN] AND  16S","Sparganium androcladum[ORGN] AND  PITS","Sparganium androcladum[ORGN] AND  CO1","Sparganium androcladum[ORGN] AND  COI","Sparganium androcladum[ORGN] AND  COX1","Sparganium androcladum[ORGN] AND  FITS","Sparganium androcladum[ORGN] AND  ITS2","Sparganium androcladum[ORGN] AND  ITS1","Sparganium androcladum[ORGN] AND  trnl","Sparganium androcladum[ORGN] AND  12S"
"Sparganium emersum","Sparganium emersum[ORGN] AND 18S","Sparganium emersum[ORGN] AND  16S","Sparganium emersum[ORGN] AND  PITS","Sparganium emersum[ORGN] AND  CO1","Sparganium emersum[ORGN] AND  COI","Sparganium emersum[ORGN] AND  COX1","Sparganium emersum[ORGN] AND  FITS","Sparganium emersum[ORGN] AND  ITS2","Sparganium emersum[ORGN] AND  ITS1","Sparganium emersum[ORGN] AND  trnl","Sparganium emersum[ORGN] AND  12S"
"Sparganium glomeratum","Sparganium glomeratum[ORGN] AND 18S","Sparganium glomeratum[ORGN] AND  16S","Sparganium glomeratum[ORGN] AND  PITS","Sparganium glomeratum[ORGN] AND  CO1","Sparganium glomeratum[ORGN] AND  COI","Sparganium glomeratum[ORGN] AND  COX1","Sparganium glomeratum[ORGN] AND  FITS","Sparganium glomeratum[ORGN] AND  ITS2","Sparganium glomeratum[ORGN] AND  ITS1","Sparganium glomeratum[ORGN] AND  trnl","Sparganium glomeratum[ORGN] AND  12S"
"Spirodela polyrhiza","Spirodela polyrhiza[ORGN] AND 18S","Spirodela polyrhiza[ORGN] AND  16S","Spirodela polyrhiza[ORGN] AND  PITS","Spirodela polyrhiza[ORGN] AND  CO1","Spirodela polyrhiza[ORGN] AND  COI","Spirodela polyrhiza[ORGN] AND  COX1","Spirodela polyrhiza[ORGN] AND  FITS","Spirodela polyrhiza[ORGN] AND  ITS2","Spirodela polyrhiza[ORGN] AND  ITS1","Spirodela polyrhiza[ORGN] AND  trnl","Spirodela polyrhiza[ORGN] AND  12S"
"Stachys palustris","Stachys palustris[ORGN] AND 18S","Stachys palustris[ORGN] AND  16S","Stachys palustris[ORGN] AND  PITS","Stachys palustris[ORGN] AND  CO1","Stachys palustris[ORGN] AND  COI","Stachys palustris[ORGN] AND  COX1","Stachys palustris[ORGN] AND  FITS","Stachys palustris[ORGN] AND  ITS2","Stachys palustris[ORGN] AND  ITS1","Stachys palustris[ORGN] AND  trnl","Stachys palustris[ORGN] AND  12S"
"Tamarix","Tamarix[ORGN] AND 18S","Tamarix[ORGN] AND  16S","Tamarix[ORGN] AND  PITS","Tamarix[ORGN] AND  CO1","Tamarix[ORGN] AND  COI","Tamarix[ORGN] AND  COX1","Tamarix[ORGN] AND  FITS","Tamarix[ORGN] AND  ITS2","Tamarix[ORGN] AND  ITS1","Tamarix[ORGN] AND  trnl","Tamarix[ORGN] AND  12S"
"Tradescantia pallida","Tradescantia pallida[ORGN] AND 18S","Tradescantia pallida[ORGN] AND  16S","Tradescantia pallida[ORGN] AND  PITS","Tradescantia pallida[ORGN] AND  CO1","Tradescantia pallida[ORGN] AND  COI","Tradescantia pallida[ORGN] AND  COX1","Tradescantia pallida[ORGN] AND  FITS","Tradescantia pallida[ORGN] AND  ITS2","Tradescantia pallida[ORGN] AND  ITS1","Tradescantia pallida[ORGN] AND  trnl","Tradescantia pallida[ORGN] AND  12S"
"Trapa natans","Trapa natans[ORGN] AND 18S","Trapa natans[ORGN] AND  16S","Trapa natans[ORGN] AND  PITS","Trapa natans[ORGN] AND  CO1","Trapa natans[ORGN] AND  COI","Trapa natans[ORGN] AND  COX1","Trapa natans[ORGN] AND  FITS","Trapa natans[ORGN] AND  ITS2","Trapa natans[ORGN] AND  ITS1","Trapa natans[ORGN] AND  trnl","Trapa natans[ORGN] AND  12S"
"Trifolium hybridum","Trifolium hybridum[ORGN] AND 18S","Trifolium hybridum[ORGN] AND  16S","Trifolium hybridum[ORGN] AND  PITS","Trifolium hybridum[ORGN] AND  CO1","Trifolium hybridum[ORGN] AND  COI","Trifolium hybridum[ORGN] AND  COX1","Trifolium hybridum[ORGN] AND  FITS","Trifolium hybridum[ORGN] AND  ITS2","Trifolium hybridum[ORGN] AND  ITS1","Trifolium hybridum[ORGN] AND  trnl","Trifolium hybridum[ORGN] AND  12S"
"Trillium erectum","Trillium erectum[ORGN] AND 18S","Trillium erectum[ORGN] AND  16S","Trillium erectum[ORGN] AND  PITS","Trillium erectum[ORGN] AND  CO1","Trillium erectum[ORGN] AND  COI","Trillium erectum[ORGN] AND  COX1","Trillium erectum[ORGN] AND  FITS","Trillium erectum[ORGN] AND  ITS2","Trillium erectum[ORGN] AND  ITS1","Trillium erectum[ORGN] AND  trnl","Trillium erectum[ORGN] AND  12S"
"Typha angustifolia","Typha angustifolia[ORGN] AND 18S","Typha angustifolia[ORGN] AND  16S","Typha angustifolia[ORGN] AND  PITS","Typha angustifolia[ORGN] AND  CO1","Typha angustifolia[ORGN] AND  COI","Typha angustifolia[ORGN] AND  COX1","Typha angustifolia[ORGN] AND  FITS","Typha angustifolia[ORGN] AND  ITS2","Typha angustifolia[ORGN] AND  ITS1","Typha angustifolia[ORGN] AND  trnl","Typha angustifolia[ORGN] AND  12S"
"Typha latifolia","Typha latifolia[ORGN] AND 18S","Typha latifolia[ORGN] AND  16S","Typha latifolia[ORGN] AND  PITS","Typha latifolia[ORGN] AND  CO1","Typha latifolia[ORGN] AND  COI","Typha latifolia[ORGN] AND  COX1","Typha latifolia[ORGN] AND  FITS","Typha latifolia[ORGN] AND  ITS2","Typha latifolia[ORGN] AND  ITS1","Typha latifolia[ORGN] AND  trnl","Typha latifolia[ORGN] AND  12S"
"Ulmus americana","Ulmus americana[ORGN] AND 18S","Ulmus americana[ORGN] AND  16S","Ulmus americana[ORGN] AND  PITS","Ulmus americana[ORGN] AND  CO1","Ulmus americana[ORGN] AND  COI","Ulmus americana[ORGN] AND  COX1","Ulmus americana[ORGN] AND  FITS","Ulmus americana[ORGN] AND  ITS2","Ulmus americana[ORGN] AND  ITS1","Ulmus americana[ORGN] AND  trnl","Ulmus americana[ORGN] AND  12S"
"Veronica beccabunga","Veronica beccabunga[ORGN] AND 18S","Veronica beccabunga[ORGN] AND  16S","Veronica beccabunga[ORGN] AND  PITS","Veronica beccabunga[ORGN] AND  CO1","Veronica beccabunga[ORGN] AND  COI","Veronica beccabunga[ORGN] AND  COX1","Veronica beccabunga[ORGN] AND  FITS","Veronica beccabunga[ORGN] AND  ITS2","Veronica beccabunga[ORGN] AND  ITS1","Veronica beccabunga[ORGN] AND  trnl","Veronica beccabunga[ORGN] AND  12S"
"Veronica serpyllifolia","Veronica serpyllifolia[ORGN] AND 18S","Veronica serpyllifolia[ORGN] AND  16S","Veronica serpyllifolia[ORGN] AND  PITS","Veronica serpyllifolia[ORGN] AND  CO1","Veronica serpyllifolia[ORGN] AND  COI","Veronica serpyllifolia[ORGN] AND  COX1","Veronica serpyllifolia[ORGN] AND  FITS","Veronica serpyllifolia[ORGN] AND  ITS2","Veronica serpyllifolia[ORGN] AND  ITS1","Veronica serpyllifolia[ORGN] AND  trnl","Veronica serpyllifolia[ORGN] AND  12S"
"Viburnum opulus var. americanum","Viburnum opulus var. americanum[ORGN] AND 18S","Viburnum opulus var. americanum[ORGN] AND  16S","Viburnum opulus var. americanum[ORGN] AND  PITS","Viburnum opulus var. americanum[ORGN] AND  CO1","Viburnum opulus var. americanum[ORGN] AND  COI","Viburnum opulus var. americanum[ORGN] AND  COX1","Viburnum opulus var. americanum[ORGN] AND  FITS","Viburnum opulus var. americanum[ORGN] AND  ITS2","Viburnum opulus var. americanum[ORGN] AND  ITS1","Viburnum opulus var. americanum[ORGN] AND  trnl","Viburnum opulus var. americanum[ORGN] AND  12S"
"Viola blanda","Viola blanda[ORGN] AND 18S","Viola blanda[ORGN] AND  16S","Viola blanda[ORGN] AND  PITS","Viola blanda[ORGN] AND  CO1","Viola blanda[ORGN] AND  COI","Viola blanda[ORGN] AND  COX1","Viola blanda[ORGN] AND  FITS","Viola blanda[ORGN] AND  ITS2","Viola blanda[ORGN] AND  ITS1","Viola blanda[ORGN] AND  trnl","Viola blanda[ORGN] AND  12S"
"Viola blanda var. palustriformis","Viola blanda var. palustriformis[ORGN] AND 18S","Viola blanda var. palustriformis[ORGN] AND  16S","Viola blanda var. palustriformis[ORGN] AND  PITS","Viola blanda var. palustriformis[ORGN] AND  CO1","Viola blanda var. palustriformis[ORGN] AND  COI","Viola blanda var. palustriformis[ORGN] AND  COX1","Viola blanda var. palustriformis[ORGN] AND  FITS","Viola blanda var. palustriformis[ORGN] AND  ITS2","Viola blanda var. palustriformis[ORGN] AND  ITS1","Viola blanda var. palustriformis[ORGN] AND  trnl","Viola blanda var. palustriformis[ORGN] AND  12S"
"Wisteria frutescens","Wisteria frutescens[ORGN] AND 18S","Wisteria frutescens[ORGN] AND  16S","Wisteria frutescens[ORGN] AND  PITS","Wisteria frutescens[ORGN] AND  CO1","Wisteria frutescens[ORGN] AND  COI","Wisteria frutescens[ORGN] AND  COX1","Wisteria frutescens[ORGN] AND  FITS","Wisteria frutescens[ORGN] AND  ITS2","Wisteria frutescens[ORGN] AND  ITS1","Wisteria frutescens[ORGN] AND  trnl","Wisteria frutescens[ORGN] AND  12S"
"Xanthium strumarium","Xanthium strumarium[ORGN] AND 18S","Xanthium strumarium[ORGN] AND  16S","Xanthium strumarium[ORGN] AND  PITS","Xanthium strumarium[ORGN] AND  CO1","Xanthium strumarium[ORGN] AND  COI","Xanthium strumarium[ORGN] AND  COX1","Xanthium strumarium[ORGN] AND  FITS","Xanthium strumarium[ORGN] AND  ITS2","Xanthium strumarium[ORGN] AND  ITS1","Xanthium strumarium[ORGN] AND  trnl","Xanthium strumarium[ORGN] AND  12S"
"Bothriocephalus","Bothriocephalus[ORGN] AND 18S","Bothriocephalus[ORGN] AND  16S","Bothriocephalus[ORGN] AND  PITS","Bothriocephalus[ORGN] AND  CO1","Bothriocephalus[ORGN] AND  COI","Bothriocephalus[ORGN] AND  COX1","Bothriocephalus[ORGN] AND  FITS","Bothriocephalus[ORGN] AND  ITS2","Bothriocephalus[ORGN] AND  ITS1","Bothriocephalus[ORGN] AND  trnl","Bothriocephalus[ORGN] AND  12S"
"Dactylogyrus amphibothrium","Dactylogyrus amphibothrium[ORGN] AND 18S","Dactylogyrus amphibothrium[ORGN] AND  16S","Dactylogyrus amphibothrium[ORGN] AND  PITS","Dactylogyrus amphibothrium[ORGN] AND  CO1","Dactylogyrus amphibothrium[ORGN] AND  COI","Dactylogyrus amphibothrium[ORGN] AND  COX1","Dactylogyrus amphibothrium[ORGN] AND  FITS","Dactylogyrus amphibothrium[ORGN] AND  ITS2","Dactylogyrus amphibothrium[ORGN] AND  ITS1","Dactylogyrus amphibothrium[ORGN] AND  trnl","Dactylogyrus amphibothrium[ORGN] AND  12S"
"Dactylogyrus hemiamphibothrium","Dactylogyrus hemiamphibothrium[ORGN] AND 18S","Dactylogyrus hemiamphibothrium[ORGN] AND  16S","Dactylogyrus hemiamphibothrium[ORGN] AND  PITS","Dactylogyrus hemiamphibothrium[ORGN] AND  CO1","Dactylogyrus hemiamphibothrium[ORGN] AND  COI","Dactylogyrus hemiamphibothrium[ORGN] AND  COX1","Dactylogyrus hemiamphibothrium[ORGN] AND  FITS","Dactylogyrus hemiamphibothrium[ORGN] AND  ITS2","Dactylogyrus hemiamphibothrium[ORGN] AND  ITS1","Dactylogyrus hemiamphibothrium[ORGN] AND  trnl","Dactylogyrus hemiamphibothrium[ORGN] AND  12S"
"Dugesia","Dugesia[ORGN] AND 18S","Dugesia[ORGN] AND  16S","Dugesia[ORGN] AND  PITS","Dugesia[ORGN] AND  CO1","Dugesia[ORGN] AND  COI","Dugesia[ORGN] AND  COX1","Dugesia[ORGN] AND  FITS","Dugesia[ORGN] AND  ITS2","Dugesia[ORGN] AND  ITS1","Dugesia[ORGN] AND  trnl","Dugesia[ORGN] AND  12S"
"Ichthyocotylurus pileatus","Ichthyocotylurus pileatus[ORGN] AND 18S","Ichthyocotylurus pileatus[ORGN] AND  16S","Ichthyocotylurus pileatus[ORGN] AND  PITS","Ichthyocotylurus pileatus[ORGN] AND  CO1","Ichthyocotylurus pileatus[ORGN] AND  COI","Ichthyocotylurus pileatus[ORGN] AND  COX1","Ichthyocotylurus pileatus[ORGN] AND  FITS","Ichthyocotylurus pileatus[ORGN] AND  ITS2","Ichthyocotylurus pileatus[ORGN] AND  ITS1","Ichthyocotylurus pileatus[ORGN] AND  trnl","Ichthyocotylurus pileatus[ORGN] AND  12S"
"Neascus","Neascus[ORGN] AND 18S","Neascus[ORGN] AND  16S","Neascus[ORGN] AND  PITS","Neascus[ORGN] AND  CO1","Neascus[ORGN] AND  COI","Neascus[ORGN] AND  COX1","Neascus[ORGN] AND  FITS","Neascus[ORGN] AND  ITS2","Neascus[ORGN] AND  ITS1","Neascus[ORGN] AND  trnl","Neascus[ORGN] AND  12S"
"Scolex pleuronectis","Scolex pleuronectis[ORGN] AND 18S","Scolex pleuronectis[ORGN] AND  16S","Scolex pleuronectis[ORGN] AND  PITS","Scolex pleuronectis[ORGN] AND  CO1","Scolex pleuronectis[ORGN] AND  COI","Scolex pleuronectis[ORGN] AND  COX1","Scolex pleuronectis[ORGN] AND  FITS","Scolex pleuronectis[ORGN] AND  ITS2","Scolex pleuronectis[ORGN] AND  ITS1","Scolex pleuronectis[ORGN] AND  trnl","Scolex pleuronectis[ORGN] AND  12S"
"Timoniella","Timoniella[ORGN] AND 18S","Timoniella[ORGN] AND  16S","Timoniella[ORGN] AND  PITS","Timoniella[ORGN] AND  CO1","Timoniella[ORGN] AND  COI","Timoniella[ORGN] AND  COX1","Timoniella[ORGN] AND  FITS","Timoniella[ORGN] AND  ITS2","Timoniella[ORGN] AND  ITS1","Timoniella[ORGN] AND  trnl","Timoniella[ORGN] AND  12S"
"Trochammina hadai","Trochammina hadai[ORGN] AND 18S","Trochammina hadai[ORGN] AND  16S","Trochammina hadai[ORGN] AND  PITS","Trochammina hadai[ORGN] AND  CO1","Trochammina hadai[ORGN] AND  COI","Trochammina hadai[ORGN] AND  COX1","Trochammina hadai[ORGN] AND  FITS","Trochammina hadai[ORGN] AND  ITS2","Trochammina hadai[ORGN] AND  ITS1","Trochammina hadai[ORGN] AND  trnl","Trochammina hadai[ORGN] AND  12S"
"Acineta","Acineta[ORGN] AND 18S","Acineta[ORGN] AND  16S","Acineta[ORGN] AND  PITS","Acineta[ORGN] AND  CO1","Acineta[ORGN] AND  COI","Acineta[ORGN] AND  COX1","Acineta[ORGN] AND  FITS","Acineta[ORGN] AND  ITS2","Acineta[ORGN] AND  ITS1","Acineta[ORGN] AND  trnl","Acineta[ORGN] AND  12S"
"Corythionella","Corythionella[ORGN] AND 18S","Corythionella[ORGN] AND  16S","Corythionella[ORGN] AND  PITS","Corythionella[ORGN] AND  CO1","Corythionella[ORGN] AND  COI","Corythionella[ORGN] AND  COX1","Corythionella[ORGN] AND  FITS","Corythionella[ORGN] AND  ITS2","Corythionella[ORGN] AND  ITS1","Corythionella[ORGN] AND  trnl","Corythionella[ORGN] AND  12S"
"Psammonobiotus communis","Psammonobiotus communis[ORGN] AND 18S","Psammonobiotus communis[ORGN] AND  16S","Psammonobiotus communis[ORGN] AND  PITS","Psammonobiotus communis[ORGN] AND  CO1","Psammonobiotus communis[ORGN] AND  COI","Psammonobiotus communis[ORGN] AND  COX1","Psammonobiotus communis[ORGN] AND  FITS","Psammonobiotus communis[ORGN] AND  ITS2","Psammonobiotus communis[ORGN] AND  ITS1","Psammonobiotus communis[ORGN] AND  trnl","Psammonobiotus communis[ORGN] AND  12S"
