"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Cylindrospermopsis raciborskii cyDB-1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N3","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii SAG 1.97","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N4","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N5","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N6","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N7","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii N8","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii HCy90","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB2138","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3443","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3446","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3417","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB2144","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB362","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB477","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3445","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3318","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii MGL120","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3432","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB487","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB158","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii ITEP-A1","0","178","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB480","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TZ-1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TZ-2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii UP","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii IFCC-CR01","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LP1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LP2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AWQC-CYP011K","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC325.07","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC326.07","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC327.07","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC328.07","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S01","0","704","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S05","0","810","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S06","0","704","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S07","0","1004","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S10","0","1038","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii S14","0","1338","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii C03","0","866","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii C04","0","830","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii C07","0","932","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYRF","0","167","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYLP","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii T2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TAU-MAC 1414","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3426","0","2","0","0","0","0","0","0","0","0","0"
