"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Hydrocotyle","52","4","0","0","0","21","12","45","0"
"Hygrophila","414","1888","284","6084","1215","1170","668","14","37"
"Impatiens","118","10","0","6","0","479","416","321","0"
"Imperata","12","3","0","0","0","34","19","257","0"
"Ipomoea","180","95","0","0","3","860","541","312","4"
"Iris","20","64","2","0","1","236","151","775","1"
"Juncus","9","1","0","0","0","141","72","103","0"
"Lactuca","56","15","0","1","6","183","200","219","0"
"Lepidium","276","18","0","0","0","279","198","916","0"
"Leucojum","0","1","0","0","0","5","3","3","0"
"Liatris","3","0","0","0","0","68","56","1","0"
"Ligustrum","37","8","0","0","1","145","128","28","0"
"Lomentaria","2","0","0","52","0","0","0","0","0"
"Lotus","113","5","0","0","2","271","257","281","0"
"Lupinus","78","40","0","0","1","324","261","319","0"
"Lycopus","3","1","0","0","0","24","4","41","0"
"Lysimachia","93","6","0","0","0","156","113","306","0"
"Lythrum","7","3","0","0","0","21","17","4","0"
"Macfadyena","0","0","0","0","0","0","0","0","0"
"Marrubium","2","0","0","0","0","0","0","79","0"
"Marsilea","4","3","0","0","0","2","1","218","0"
"Medicago","257","82","0","0","2","389","334","71","0"
"Mentha","16","10","0","0","0","188","134","183","0"
"Microstegium","5","0","0","0","0","5","5","304","0"
"Mollugo","20","4","0","0","0","20","18","2","0"
"Morus","87","18","0","37","4","210","161","529","9"
"Muhlenbergia","0","0","0","0","0","228","201","336","0"
"Myosotis","209","0","0","0","0","131","127","35","0"
"Myosoton","3","0","0","0","0","3","1","3","0"
"Najas","780","2","0","0","1","525","521","107","0"
"Nasturtium","3","4","0","0","0","23","12","17","0"
"Nepeta","15","2","0","0","0","54","48","51","0"
"Oenothera","20","93","0","0","0","151","110","201","0"
"Ornithogalum","2","0","0","0","0","52","51","133","0"
"Panicum","258","28","0","0","0","265","238","158","0"
"Parthenocissus","1","0","0","0","0","0","0","104","0"
"Phalaris","20","2","0","0","0","110","104","87","0"
"Phragmites","2","6","0","0","0","16","11","233","0"
"Picea","11","24","0","4","12","28","98","671","0"
"Plantago","337","14","0","7","39","443","168","451","0"
"Pluchea","19","2","0","0","0","115","114","34","0"
"Poa","267","27","0","5","0","533","479","787","0"
"Polygonum","39","0","0","4","0","219","190","82","0"
"Populus","91","127","2","11","9","67","113","1020","9"
"Portulaca","139","9","0","0","0","170","149","26","0"
"Potamogeton","581","2","0","0","2","341","251","443","0"
"Potentilla","320","31","0","0","0","424","283","634","0"
"Prosopis","67","10","0","136","1","27","27","20","0"
"Prunella","1","17","0","66","9","57","29","15","13"
"Puccinellia","83","4","0","0","0","126","105","84","0"
"Ranunculus","22","14","0","0","1","775","666","1057","0"
"Rhamnus","168","2","0","3","0","55","52","201","0"
"Rhizophora","10","6","0","0","0","66","60","81","0"
"Rhynchospora","69","0","0","0","0","85","77","130","0"
"Rorippa","5","1","0","0","0","56","25","226","0"
"Rumex","36","12","0","0","0","136","63","79","0"
"Sagina","11","0","0","0","0","39","12","10","0"
"Salix","121","40","0","38","8","405","175","105","0"
"Salsola","25","1","0","1","0","99","83","10","0"
"Sapium","0","0","0","0","0","0","0","7","0"
"Solanum","931","443","4","6","50","930","836","1121","27"
"Solidago","81","1","0","16","0","250","114","160","0"
"Sonchus","6","16","0","4","0","225","216","100","0"
"Sorghum","71","17","0","0","2","19","84","100","0"
"Sparganium","35","4","0","0","0","22","0","48","0"
"Spirodela","12","3","0","0","2","2","2","13","0"
"Stachys","17","9","0","0","0","9","1","454","0"
"Tamarix","55","5","0","1","0","214","180","175","0"
"Tradescantia","1","3","0","0","0","2","0","53","0"
"Trapa","0","9","0","0","0","27","26","28","0"
"Trifolium","427","35","0","4","8","433","374","295","0"
"Trillium","7","14","0","0","0","113","102","248","0"
"Typha","8","4","0","4","0","21","0","169","0"
"Ulmus","30","24","0","0","0","44","31","64","0"
"Veronica","483","4","0","0","2","484","699","1063","0"
"Viburnum","33","24","0","5","1","261","245","306","0"
"Viola","307","18","0","7","2","746","622","486","0"
"Wisteria","17","7","0","0","0","26","22","2","0"
"Xanthium","33","3","0","0","0","92","36","9","0"
"Bothriocephalus","39","10","0","1","52","10","29","0","0"
"Dactylogyrus","258","2","0","0","2","0","270","0","2"
"Dugesiidae","188","9","0","585","475","2","148","0","9"
"Ichthyocotylurus","6","0","1","22","0","5","7","0","0"
"Neascus","3","0","0","3","0","0","0","0","0"
"Scolex","0","0","0","0","0","0","0","0","0"
"Timoniella","0","0","0","0","0","0","0","0","0"
"Trochammina","19","0","0","0","0","0","0","0","0"
"Acinetidae","0","0","0","0","0","0","0","0","0"
"Corythionella","0","0","0","0","0","0","0","0","0"
"Trypanosoma","2485","25","4","98","5","250","1136","0","326"
"Varanus","0","175","5","78","9","2","0","6","224"
"Caiman","0","46","0","144","15","1","1","0","8"
"Cliona","46","0","6","20","91","79","123","0","0"
"Gelliodes","1","0","0","5","2","0","0","0","0"
"Mycale","70","46","3","14","38","4","1","0","0"
"Haliclona","125","58","8","57","209","7","2","0","0"
"Suberites","20","1","7","17","37","2","1","0","1"
"Prosuberites","32","0","0","1","0","31","31","0","0"
"Macrobiotus","128","0","14","191","22","22","1","0","0"
"Milnesium","45","0","4","60","2","24","0","0","0"
"Polyandrocarpa","4","1","1","9","1","0","0","0","0"
"Ascidia","15","0","14","22","8","0","0","0","0"
"Phallusia","17","0","1","12","5","0","0","0","0"
"Corella","35","0","0","24","0","0","0","0","0"
"Microcosmus","14","1","5","308","10","0","0","0","1"
"Symplegma","3","0","0","15","3","0","0","0","0"
"Sarotherodon","0","30","0","71","19","0","0","0","23"
"Tilapia","0","20","20","42","1","0","0","0","18"
"Acanthogobius","2","9","0","38","7","0","0","0","38"
"Cephalopholis","0","101","18","813","21","0","0","0","74"
"Lutjanus","26","138","81","1808","97","0","4","0","150"
"Tridentiger","0","13","2","87","27","0","0","0","68"
"Gonodactylaceus","2","4","3","6","72","0","0","0","1"
"Zebrasoma","0","21","0","100","20","0","0","0","15"
"Acanthurus","1","52","0","703","50","0","0","0","55"
"Anchoa","0","57","0","101","1","0","0","0","5"
"Apeltes","0","5","1","16","1","0","0","0","3"
"Archoplites","0","1","0","3","0","0","0","0","0"
"Astronotus","0","8","1","20","1","0","0","0","8"
"Balistes","0","14","0","62","25","0","0","0","13"
"Cichla","0","24","0","61","148","0","0","0","9"
"Cittarium","4","129","0","108","1","0","0","0","2"
"Clarias","24","181","54","438","27","21","16","2","29"
"Enneacanthus","0","4","0","39","0","0","0","0","1"
"Esox","5","43","0","573","12","0","0","0","30"
"Fundulus","54","52","0","251","14","0","0","0","40"
"Hemichromis","0","8","0","79","2","0","0","0","2"
"Heros","0","7","0","18","1","0","0","0","6"
"Hoplosternum","0","10","0","31","4","0","0","0","12"
"Hypomesus","0","73","0","271","10","47","0","2","30"
"Ictalurus","20","63","8","119","24","3","3","0","56"
"Leuciscus","0","68","1","154","9","0","2","0","12"
"Limia","0","7","0","43","0","0","0","0","52"
"Plantaginaceae","1396","35","0","7","48","2402","2213","3669","0"
"Lucania","0","1","0","14","2","0","0","0","0"
"Misgurnus","4","35","2","223","145","0","0","0","87"
"Mylocheilus","0","10","1","15","1","0","0","0","3"
"Notropis","1","85","0","707","32","0","40","0","59"
"Noturus","3","29","0","157","1","0","0","0","29"
"Orthodon","0","2","0","1","0","0","0","0","2"
"Osteoglossum","5","7","0","4","11","0","0","0","10"
"Oxydoras","0","6","0","7","2","0","0","0","4"
"Parachromis","0","13","0","43","2","0","0","0","4"
"Petromyzon","8","7","0","53","1","1","1","0","6"
"Phenacobius","0","25","0","23","2","0","0","0","14"
"Piaractus","1","15","2","102","5","0","0","0","9"
"Plecoglossus","1","11","1","2","6","1","0","0","19"
"Poecilia","50","37","17","585","33","0","0","0","69"
"Proterorhinus","0","6","1","30","8","0","0","0","4"
"Pygocentrus","5","19","1","93","1","0","0","0","7"
